Cell type,test,material,time (hr),concentration (ug/ml),viability (%),Hydrodynamic diameter (nm),Zeta potential (mV)
143B,MTT,Au,4,200,36.126,24.6,-4.65
143B,MTT,Au,4,400,22.253,24.6,-33.33
143B,MTT,Au,4,500,19.643,24.6,-31.3
143B,MTT,Au,72,1,91.262,24.6,-16.95
143B,MTT,Au,72,3,87.5,24.6,29.45
143B,MTT,Au,72,10,81.553,24.6,-20.165
143B,MTT,Au,72,30,52.306,24.6,-37.9
143B,MTT,Au,72,100,30.097,24.6,-5.85
143B,MTT,Au,72,1,108.01,24.6,-7.455
143B,MTT,Au,72,3,107.14,24.6,-7.455
143B,MTT,Au,72,10,106.26,24.6,-7.455
143B,MTT,Au,72,30,94.072,24.6,-20.665
143B,MTT,Au,72,100,64.764,24.6,-25
143B,MTT,Au,24,0.5,88.021,24.6,24.3
143B,MTT,Au,24,5,85.069,24.6,31.49
143B,NRU,Au,24,50,55.556,24.6,37.28
143B,NRU,Au,24,500,12.5,24.6,-30.62
143B,NRU,Au,24,0.5,97.049,24.6,-17.1
143B,NRU,Au,24,5,94.444,24.6,-19.285
143B,NRU,Au,24,50,92.014,24.6,-8.72
143B,NRU,Au,24,500,5.9028,24.6,-30.62
143B,NRU,Au,48,0.5,83.505,24.6,-23.1
143B,NRU,Au,48,5,69.931,24.6,-43.29
143B,NRU,Au,48,50,49.485,24.6,-40.5
143B,NRU,Au,48,0.5,99.485,24.6,-13.56
143B,NRU,Au,48,5,89.519,24.6,-17.1
143B,NRU,Au,48,50,85.911,24.6,-8.72
143B,NRU,Au,48,500,3.9519,25,-30.62
143B,NRU,Au,72,0.5,82.847,25,-4.58
143B,NRU,Au,72,5,59.691,25,-24.5
16HBE,CCK-8,SiO2,24,10.93,84.667,25,20.02
16HBE,CCK-8,SiO2,24,21.87,74.933,25,20.02
16HBE,CCK-8,SiO2,24,43.75,75.467,25,20.02
16HBE,CCK-8,SiO2,24,87.5,67.733,25,20.02
16HBE,CCK-8,SiO2,24,175,66.8,25,20.02
16HBE,CCK-8,SiO2,24,1,96.943,25,71.7
16HBE,CCK-8,SiO2,6,0.8,99.051,25.76,71.7
16HBE,CCK-8,SiO2,6,4,94.146,25.76,71.7
16HBE,CCK-8,SiO2,6,8,103.16,25.76,71.7
16HBE,CCK-8,SiO2,6,14,93.513,25.76,71.7
16HBE,CCK-8,SiO2,6,20,75.949,26,71.7
3T3-L1,MTT,MgO,48,200,77.962,30,-8
3T3-L1,MTT,MgO,48,400,55.924,30,-8
3T3-L1,MTT,MgO,72,25,90.047,30,-8
3T3-L1,MTT,MgO,72,50,87.441,30,-8
3T3-L1,MTT,MgO,72,100,77.962,30,-8
3T3-L1,MTT,MgO,72,200,68.483,30,-8
3T3-L1,MTT,MgO,72,400,43.365,30,-8
3T3-L1,MTT,MgO,24,25,98.832,30,-8
3T3-L1,MTT,MgO,24,50,90.888,30,-8
3T3-L1,MTT,MgO,24,100,89.486,30,-8
3T3-L1,MTT,MgO,24,200,79.907,30,-8
3T3-L1,MTT,MgO,24,400,54.206,30,-8
3T3-L1,MTT,MgO,48,25,96.262,30,-8
3T3-L1,MTT,MgO,48,50,89.486,30,-8
3T3-L1,MTT,MgO,48,100,84.112,30,-8
95D,CCK-8,Au,12,0.1,100,30.29,69.8
95D,CCK-8,Au,12,1,97.03,30.29,69.8
95D,CCK-8,Au,12,5,93.399,30.29,69.8
95D,CCK-8,Au,12,10,93.399,30.29,69.8
95D,CCK-8,Au,12,20,92.739,30.29,69.8
95D,CCK-8,Au,12,50,86.799,30.29,69.8
95D,CCK-8,Au,12,100,73.597,30.29,69.8
95D,CCK-8,Au,12,0.001,96.37,30.29,8.67
95D,CCK-8,Au,12,0.01,95.05,30.29,8.67
95D,CCK-8,Au,12,0.1,97.69,30.29,8.67
95D,CCK-8,Au,12,1,99.67,30.29,8.67
95D,CCK-8,Au,12,5,95.38,30.6,8.67
A2780,MTT,SiO2,72,200,86.961,25,-31.8
A2780,MTT,SiO2,24,10,75,25,70.76
A2780,MTT,SiO2,24,25,66,25,70.76
A2780,MTT,SiO2,24,50,48,25,70.76
A2780,MTT,SiO2,24,10,85,25,70.76
A2780,MTT,SiO2,24,25,69,25,70.76
A2780,MTT,SiO2,24,50,46,25,70.76
A2780,MTT,SiO2,48,1.78,78.035,25,-20
A431,MTT,TiO2,24,10,80.945,5,-23.5
A431,MTT,TiO2,24,50,80.945,5,-23.5
A431,MTT,TiO2,24,100,79.316,5,-23.5
A431,MTT,TiO2,24,0.5,96.743,5,-27.7
A431,MTT,TiO2,24,1,82.573,5,-27.7
A431,MTT,TiO2,24,5,76.873,5,-27.7
A431,MTT,TiO2,24,10,76.873,5,-27.7
A431,MTT,TiO2,24,50,91.205,5,-27.7
A431,MTT,TiO2,24,100,91.205,5.2,-27.7
A431,MTT,TiO2,72,0.036,80.385,5.2,15.05
A431,MTT,TiO2,72,0.072,72.957,5.2,-23.415
A431,MTT,TiO2,72,0.18,56.616,5.2,28.1
A431,MTT,TiO2,72,0.36,49.684,5.2,-36.5
A431,MTT,TiO2,72,0.72,42.256,5.2,-36.5
A431,MTT,TiO2,72,1,42.586,5.2,-36.5
A431,NRU,TiO2,72,0.036,108.98,5.2,-7.455
A431,NRU,TiO2,72,0.072,106.23,5.5,5.635
A431,NRU,TiO2,72,0.18,102.5,6,-9.6
A431,NRU,TiO2,72,0.36,90.126,6,37.85
A431,NRU,TiO2,72,0.72,63.619,6,28.4
A431,NRU,TiO2,72,1,47.518,6,-36.5
A431,NRU,TiO2,72,0.036,101.35,6,28.4
A431,NRU,TiO2,72,0.072,91.689,6,5.5
A431,NRU,TiO2,72,0.18,67.636,6,-4.55
A431,NRU,TiO2,72,0.36,41.527,6,-36.5
A431,NRU,TiO2,72,0.72,27.959,6,-10.33
A431,NRU,TiO2,72,1,28.37,6,-10.33
A431,NRU,TiO2,72,25,88.973,6,-25
A431,NRU,TiO2,72,50,76.933,6,-25
A431,NRU,TiO2,72,100,59.949,6,-25
A431,MTT,SiO2,24,10,108.05,7,-38.1
A431,MTT,SiO2,24,50,54.146,7.5,-38.1
A431,MTT,SiO2,24,100,49.512,7.5,-38.1
A431,MTT,SiO2,24,200,42.683,7.5,-38.1
A549,MTT,Fe3O4,24,100,84.114,4.7,-27.7
A549,MTT,Fe3O4,48,0.5,105.22,4.7,-39.55
A549,MTT,Fe3O4,48,1,96.9,4.7,-17.1
A549,NRU,Fe3O4,48,5,94.29,4.8,-17.1
A549,NRU,Fe3O4,48,10,89.886,4.8,-15.91
A549,NRU,Fe3O4,48,50,86.949,4.8,-8.72
A549,MTT,SiO2,24,500,5.122,7.5,-38.1
A549,MTT,SiO2,24,10,53.902,7.5,-31.7
A549,MTT,SiO2,24,50,44.878,7.5,-31.7
A549,MTT,SiO2,24,100,34.878,7.5,-31.7
A549,MTT,SiO2,72,10,64.138,9,-36.3
A549,MTT,SiO2,72,50,55.172,9,-36.3
A549,MTT,SiO2,72,100,54.023,9,-36.3
A549,MTT,SiO2,72,200,51.264,9,-36.3
A549,MTT,SiO2,72,500,51.034,9,-36.3
A549,MTT,SiO2,6,20,99.06,9,-11
A549,MTT,SiO2,6,60,96.9,9,-11
A549,MTT,SiO2,6,180,98.5,9,-11
A549,MTT,SiO2,6,360,88.5,9,-11
A549,MTT,SiO2,24,20,95,9,-11
A549,MTT,SiO2,24,60,91,9,-11
A549,MTT,SiO2,24,180,83.9,9,-11
A549,MTT,SiO2,24,360,70.5,9,-11
A549,MTT,SiO2,48,20,90,9,-11
