test,material,time (hr),concentration (ug/ml),viability (%),Hydrodynamic diameter (nm),Zeta potential (mV),cell line,organism,cell type,morphology,tissue,disease,BSL,material.1,CID,Canonical_smiles,Valance_electron,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,NumHeavyAtoms,NumAtoms,NumHeteroatoms,NumAmideBonds,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumSpiroAtoms,NumBridgeheadAtoms,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,labuteASA,tpsa,CrippenClogP,CrippenMR,chi0v,chi1v,chi2v,chi3v,chi4v,chi0n,chi1n,chi2n,chi3n,chi4n,hallKierAlpha,kappa1,kappa2,kappa3,Phi
MTT,Au,4,200.0,36.126,24.6,-4.65,143B,Human,Human,mix,bone,osteosarcoma,1,Au,23985,[Au],11,196.967,0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.001880613197383,0.0,-0.0025,0.0,2.467976720090587,0.0,0.0,0.0,0.0,0.3015113445777636,0.0,0.0,0.0,0.0,0.7402597402597404,1.7402597402597404,0.0911369332421962,2.143768512189564,0.1586019357721338
MTT,Au,4,400.0,22.253,24.6,-33.33,143B,Human,Human,mix,bone,osteosarcoma,1,Au,23985,[Au],11,196.967,0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.001880613197383,0.0,-0.0025,0.0,2.467976720090587,0.0,0.0,0.0,0.0,0.3015113445777636,0.0,0.0,0.0,0.0,0.7402597402597404,1.7402597402597404,0.0911369332421962,2.143768512189564,0.1586019357721338
MTT,Au,4,500.0,19.643,24.6,-31.3,143B,Human,Human,mix,bone,osteosarcoma,1,Au,23985,[Au],11,196.967,0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.001880613197383,0.0,-0.0025,0.0,2.467976720090587,0.0,0.0,0.0,0.0,0.3015113445777636,0.0,0.0,0.0,0.0,0.7402597402597404,1.7402597402597404,0.0911369332421962,2.143768512189564,0.1586019357721338
MTT,Au,72,1.0,91.262,24.6,-16.95,143B,Human,Human,mix,bone,osteosarcoma,1,Au,23985,[Au],11,196.967,0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.001880613197383,0.0,-0.0025,0.0,2.467976720090587,0.0,0.0,0.0,0.0,0.3015113445777636,0.0,0.0,0.0,0.0,0.7402597402597404,1.7402597402597404,0.0911369332421962,2.143768512189564,0.1586019357721338
MTT,Au,72,3.0,87.5,24.6,29.45,143B,Human,Human,mix,bone,osteosarcoma,1,Au,23985,[Au],11,196.967,0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.001880613197383,0.0,-0.0025,0.0,2.467976720090587,0.0,0.0,0.0,0.0,0.3015113445777636,0.0,0.0,0.0,0.0,0.7402597402597404,1.7402597402597404,0.0911369332421962,2.143768512189564,0.1586019357721338
MTT,Au,72,10.0,81.553,24.6,-20.165,143B,Human,Human,mix,bone,osteosarcoma,1,Au,23985,[Au],11,196.967,0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.001880613197383,0.0,-0.0025,0.0,2.467976720090587,0.0,0.0,0.0,0.0,0.3015113445777636,0.0,0.0,0.0,0.0,0.7402597402597404,1.7402597402597404,0.0911369332421962,2.143768512189564,0.1586019357721338
MTT,Au,72,30.0,52.306,24.6,-37.9,143B,Human,Human,mix,bone,osteosarcoma,1,Au,23985,[Au],11,196.967,0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.001880613197383,0.0,-0.0025,0.0,2.467976720090587,0.0,0.0,0.0,0.0,0.3015113445777636,0.0,0.0,0.0,0.0,0.7402597402597404,1.7402597402597404,0.0911369332421962,2.143768512189564,0.1586019357721338
MTT,Au,72,100.0,30.097,24.6,-5.85,143B,Human,Human,mix,bone,osteosarcoma,1,Au,23985,[Au],11,196.967,0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.001880613197383,0.0,-0.0025,0.0,2.467976720090587,0.0,0.0,0.0,0.0,0.3015113445777636,0.0,0.0,0.0,0.0,0.7402597402597404,1.7402597402597404,0.0911369332421962,2.143768512189564,0.1586019357721338
MTT,Au,72,1.0,108.01,24.6,-7.455,143B,Human,Human,mix,bone,osteosarcoma,1,Au,23985,[Au],11,196.967,0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.001880613197383,0.0,-0.0025,0.0,2.467976720090587,0.0,0.0,0.0,0.0,0.3015113445777636,0.0,0.0,0.0,0.0,0.7402597402597404,1.7402597402597404,0.0911369332421962,2.143768512189564,0.1586019357721338
MTT,Au,72,3.0,107.14,24.6,-7.455,143B,Human,Human,mix,bone,osteosarcoma,1,Au,23985,[Au],11,196.967,0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.001880613197383,0.0,-0.0025,0.0,2.467976720090587,0.0,0.0,0.0,0.0,0.3015113445777636,0.0,0.0,0.0,0.0,0.7402597402597404,1.7402597402597404,0.0911369332421962,2.143768512189564,0.1586019357721338
